"","Result.x","Method.x","Fighter.x","Opponent.x","CountFights.x","PreviousOutcome.x","StreakLength.x","WinRatio.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishCount.x","FinishedCount.x","DamageDiff.x","CountFights.y","PreviousOutcome.y","StreakLength.y","WinRatio.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishCount.y","FinishedCount.y","DamageDiff.y","delta_FP","delta_FIP","delta_FC","delta_FIC"
"1","win","TKO (Punches)","Justin Gaethje","Donnie Bell",2,1,2,1,1,TRUE,0,2,0,2,2,1,2,1,0.5,FALSE,0,1,0,1,1,0,1,0
"2","win","KO (Punch)","Justin Gaethje","Drew Fickett",5,1,5,1,0.8,TRUE,0,4,0,4,60,0,-1,0.7,0.566666666666667,FALSE,0.233333333333333,34,14,2.26666666666667,1,-1,-30,-14
"3","win","TKO (Doctor Stoppage)","Justin Gaethje","Gesias Cavalcante",7,1,7,1,0.857142857142857,TRUE,0,6,0,6,26,1,1,0.653846153846154,0.5,TRUE,0.153846153846154,13,4,2.6,0,0,-7,-4
"4","win","TKO (Leg Kicks)","Justin Gaethje","Brian Cobb",8,1,8,1,0.875,TRUE,0,7,0,7,27,1,1,0.740740740740741,0.555555555555556,FALSE,0.185185185185185,15,5,2.5,1,0,-8,-5
"5","win","TKO (Punches and Elbows)","Justin Gaethje","Richard Patishnock",10,1,10,1,0.9,TRUE,0,9,0,9,7,1,2,0.857142857142857,0.285714285714286,FALSE,0.142857142857143,2,1,1,1,0,7,-1
"6","win","Decision (Split)","Justin Gaethje","Melvin Guillard",12,1,12,1,0.916666666666667,TRUE,0,11,0,11,49,1,1,0.653061224489796,0.469387755102041,TRUE,0.285714285714286,23,14,1.53333333333333,0,0,-12,-14
"7","win","TKO (Leg Kicks and Punches)","Justin Gaethje","Luis Palomino",13,1,13,1,0.846153846153846,FALSE,0,11,0,11,32,1,2,0.71875,0.46875,TRUE,0.15625,15,5,2.5,-1,0,-4,-5
"8","win","TKO (Punches)","Justin Gaethje","Luis Palomino",14,1,14,1,0.857142857142857,TRUE,0,12,0,12,33,0,-1,0.696969696969697,0.454545454545455,FALSE,0.181818181818182,15,6,2.14285714285714,1,-1,-3,-6
"9","win","TKO (Leg Kicks)","Justin Gaethje","Brian Foster",15,1,15,1,0.866666666666667,TRUE,0,13,0,13,34,0,-1,0.764705882352941,0.735294117647059,FALSE,0.235294117647059,25,8,2.77777777777778,1,-1,-12,-8
"10","win","TKO (Doctor Stoppage)","Justin Gaethje","Luiz Firmino",16,1,16,1,0.875,TRUE,0,14,0,14,26,0,-1,0.730769230769231,0.307692307692308,FALSE,0.0769230769230769,8,2,2.66666666666667,1,-1,6,-2
"11","loss","TKO (Punches)","Justin Gaethje","Dustin Poirier",19,0,-1,0.947368421052632,0.842105263157895,FALSE,0.0526315789473684,16,1,8,28,1,1,0.785714285714286,0.607142857142857,TRUE,0.142857142857143,17,4,3.4,-1,1,-1,-3
"12","win","KO (Punch)","Justin Gaethje","Edson Barboza",21,1,1,0.904761904761905,0.80952380952381,TRUE,0.0952380952380952,17,2,5.66666666666667,26,1,1,0.769230769230769,0.5,TRUE,0.153846153846154,13,4,2.6,0,0,4,-2
"13","win","TKO (Punches)","Justin Gaethje","Donald Cerrone",22,1,2,0.909090909090909,0.818181818181818,TRUE,0.0909090909090909,18,2,6,49,0,-1,0.73469387755102,0.551020408163265,FALSE,0.142857142857143,27,7,3.375,1,-1,-9,-5
"14","win","TKO (Punch)","Justin Gaethje","Tony Ferguson",23,1,3,0.91304347826087,0.826086956521739,TRUE,0.0869565217391304,19,2,6.33333333333333,28,1,12,0.892857142857143,0.714285714285714,TRUE,0.0357142857142857,20,1,10,0,0,-1,1
"15","loss","Technical Submission (Triangle Choke)","Justin Gaethje","Khabib Nurmagomedov",24,1,4,0.916666666666667,0.833333333333333,TRUE,0.0833333333333333,20,2,6.66666666666667,28,1,28,1,0.642857142857143,TRUE,0,18,0,18,0,0,2,2
"16","loss","TKO (Punches)","Abel Trujillo","Clayton Robinson",2,1,1,0.5,0.5,TRUE,0.5,1,1,0.5,6,1,1,0.666666666666667,0.666666666666667,TRUE,0.166666666666667,4,1,2,0,0,-3,0
"17","win","Submission (Verbal)","Abel Trujillo","Wes Clark",4,1,1,0.5,0.5,TRUE,0.5,2,2,0.666666666666667,7,0,-1,0.428571428571429,0.428571428571429,FALSE,0.571428571428571,3,4,0.6,1,-1,-1,-2
"18","win","Decision (Unanimous)","Abel Trujillo","Lucas Gwaltney",9,0,-2,0.555555555555556,0.444444444444444,FALSE,0.333333333333333,4,3,1,32,1,3,0.5,0.21875,FALSE,0.28125,7,9,0.7,0,1,-3,-6
"19","win","Decision (Unanimous)","Abel Trujillo","Ken Jackson",10,1,1,0.6,0.4,FALSE,0.3,4,3,1,17,0,-4,0.470588235294118,0.411764705882353,FALSE,0.470588235294118,7,8,0.777777777777778,0,0,-3,-5
