"","rowid","Result","Fighter","Event","Round","Time","Method","DateEvent","Outcome","PreviousOutcome","start","streak_id","streak","StreakLength","WinRatio","CountFights","FinishRatio","FinishPrevious","FinishedRatio","FinishedPrevious","FinishedCount","FinishCount","DamageDiff"
"1","1","win","Kevin Croom","ROF 41 - Bragging Rights",1,"1:01","KO (Slam)",2011-08-20,1,NA,TRUE,1,1,NA,NA,0,NA,NA,NA,NA,0,0,0
"2","1","win","Joe Kelso","BTT MMA 2 - Genesis",1,"4:32","TKO (Punches)",2011-10-01,1,1,FALSE,1,2,1,1,1,1,TRUE,0,FALSE,0,1,1
"3","1","win","Donnie Bell","ROF 42 - Who's Next",2,"2:57","TKO (Punches)",2011-12-17,1,1,FALSE,1,3,2,1,2,1,TRUE,0,FALSE,0,2,2
"4","1","win","Marcus Edwards","ROF 43 - Bad Blood",3,"5:00","Decision (Unanimous)",2012-06-02,1,1,FALSE,1,4,3,1,3,1,TRUE,0,FALSE,0,3,3
"5","1","win","Sam Young","RITC - Rage in the Cage 162",2,"1:58","Submission (Rear-Naked Choke)",2012-09-29,1,1,FALSE,1,5,4,1,4,0.75,FALSE,0,FALSE,0,3,3
"6","1","win","Drew Fickett","RITC  - Rage in the Cage 163",1,"0:12","KO (Punch)",2012-10-20,1,1,FALSE,1,6,5,1,5,0.8,TRUE,0,FALSE,0,4,4
"7","1","win","Adrian Valdez","RITC - Rage in the Cage 164",2,"0:19","TKO (Punches)",2012-11-16,1,1,FALSE,1,7,6,1,6,0.833333333333333,TRUE,0,FALSE,0,5,5
"8","1","win","Gesias Cavalcante","WSOF 2 - Arlovski vs. Johnson",1,"2:27","TKO (Doctor Stoppage)",2013-03-23,1,1,FALSE,1,8,7,1,7,0.857142857142857,TRUE,0,FALSE,0,6,6
"9","1","win","Brian Cobb","WSOF 3 - Fitch vs. Burkman 2",3,"2:19","TKO (Leg Kicks)",2013-06-14,1,1,FALSE,1,9,8,1,8,0.875,TRUE,0,FALSE,0,7,7
"10","1","win","Dan Lauzon","WSOF 6 - Burkman vs. Carl",2,"1:40","KO (Punches)",2013-10-26,1,1,FALSE,1,10,9,1,9,0.888888888888889,TRUE,0,FALSE,0,8,8
"11","1","win","Richard Patishnock","WSOF 8 - Gaethje vs. Patishnock",1,"1:09","TKO (Punches and Elbows)",2014-01-18,1,1,FALSE,1,11,10,1,10,0.9,TRUE,0,FALSE,0,9,9
"12","1","win","Nick Newell","WSOF 11 - Gaethje vs. Newell",2,"3:09","TKO (Punches)",2014-07-05,1,1,FALSE,1,12,11,1,11,0.909090909090909,TRUE,0,FALSE,0,10,10
