"","FighterId.x","Result.x","Opponent.x","Event.x","Round.x","Time.x","Method.x","DateEvent.x","Outcome.x","PreviousOutcome.x","start.x","streak_id.x","streak.x","StreakLength.x","WinRatio.x","CountFights.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishedPrevious.x","FinishedCount.x","FinishCount.x","DamageDiff.x","Fighter.x","OpponentId.x","FighterComposite","OpponentComposite","FighterId.y","Result.y","Opponent.y","Event.y","Round.y","Time.y","Method.y","DateEvent.y","Outcome.y","PreviousOutcome.y","start.y","streak_id.y","streak.y","StreakLength.y","WinRatio.y","CountFights.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishedPrevious.y","FinishedCount.y","FinishCount.y","DamageDiff.y","Fighter.y","OpponentId.y","FighterComposite.y","delta_FP","delta_FIP","delta_FC","delta_FIC"
"1",1,"win","Harris Sarmiento","X-1 - Champions 3",5,"5:00","Decision (Split)",2011-03-12,1,1,FALSE,1,3,2,1,2,0.5,TRUE,0,FALSE,0,1,1,"Max Holloway",465,"1_Harris Sarmiento_2011-03-12","465_Max Holloway_2011-03-12",465,"loss","Max Holloway","X-1 - Champions 3",5,"5:00","Decision (Split)",2011-03-12,0,0,FALSE,21,2,-1,0.596153846153846,52,0.211538461538462,FALSE,0.288461538461538,TRUE,15,11,0.6875,"Harris Sarmiento",1,"465_Max Holloway_2011-03-12",1,-1,-10,-15
"2",1,"win","Eddie Rincon","UIC 4 - War on the Valley Isle",3,"5:00","Decision (Unanimous)",2011-07-01,1,1,FALSE,1,4,3,1,3,0.333333333333333,FALSE,0,FALSE,0,1,1,"Max Holloway",484,"1_Eddie Rincon_2011-07-01","484_Max Holloway_2011-07-01",484,"loss","Max Holloway","UIC 4 - War on the Valley Isle",3,"5:00","Decision (Unanimous)",2011-07-01,0,0,FALSE,3,6,-5,0.333333333333333,9,0.111111111111111,FALSE,0.111111111111111,FALSE,1,1,0.5,"Eddie Rincon",1,"484_Max Holloway_2011-07-01",0,0,0,-1
"3",1,"loss","Dustin Poirier","UFC 143 - Diaz vs. Condit",1,"3:23","Submission (Triangle Armbar)",2012-02-04,0,1,TRUE,2,1,4,1,4,0.25,FALSE,0,FALSE,0,1,1,"Max Holloway",138,"1_Dustin Poirier_2012-02-04","138_Max Holloway_2012-02-04",138,"win","Max Holloway","UFC 143 - Diaz vs. Condit",1,"3:23","Submission (Triangle Armbar)",2012-02-04,1,1,FALSE,3,5,4,0.916666666666667,12,0.75,TRUE,0,FALSE,0,9,9,"Dustin Poirier",1,"138_Max Holloway_2012-02-04",-1,0,-8,0
"4",1,"win","Justin Lawrence","UFC 150 - Henderson vs. Edgar 2",2,"4:49","TKO (Punches)",2012-08-11,1,1,FALSE,3,2,1,0.833333333333333,6,0.166666666666667,FALSE,0.166666666666667,FALSE,1,1,0.5,"Max Holloway",576,"1_Justin Lawrence_2012-08-11","576_Max Holloway_2012-08-11",576,"loss","Max Holloway","UFC 150 - Henderson vs. Edgar 2",2,"4:49","TKO (Punches)",2012-08-11,0,1,TRUE,2,1,4,1,4,0.5,TRUE,0,FALSE,0,2,2,"Justin Lawrence",1,"576_Max Holloway_2012-08-11",-1,0,-1,1
"5",1,"win","Leonard Garcia","UFC 155 - Dos Santos vs. Velasquez 2",3,"5:00","Decision (Split)",2012-12-29,1,1,FALSE,3,3,2,0.857142857142857,7,0.285714285714286,TRUE,0.142857142857143,FALSE,1,2,1,"Max Holloway",259,"1_Leonard Garcia_2012-12-29","259_Max Holloway_2012-12-29",259,"loss","Max Holloway","UFC 155 - Dos Santos vs. Velasquez 2",3,"5:00","Decision (Split)",2012-12-29,0,0,FALSE,13,4,-3,0.6,25,0.48,FALSE,0.12,FALSE,3,12,3,"Leonard Garcia",1,"259_Max Holloway_2012-12-29",1,0,-10,-2
"6",1,"loss","Dennis Bermudez","UFC 160 - Velasquez vs. Bigfoot 2",3,"5:00","Decision (Split)",2013-05-25,0,1,TRUE,4,1,3,0.875,8,0.25,FALSE,0.125,FALSE,1,2,1,"Max Holloway",161,"1_Dennis Bermudez_2013-05-25","161_Max Holloway_2013-05-25",161,"win","Max Holloway","UFC 160 - Velasquez vs. Bigfoot 2",3,"5:00","Decision (Split)",2013-05-25,1,1,FALSE,5,4,3,0.769230769230769,13,0.384615384615385,FALSE,0.230769230769231,FALSE,3,5,1.25,"Dennis Bermudez",1,"161_Max Holloway_2013-05-25",0,0,-3,-2
"7",1,"loss","Conor McGregor","UFC Fight Night 26 - Shogun vs. Sonnen",3,"5:00","Decision (Unanimous)",2013-08-17,0,0,FALSE,4,2,-1,0.777777777777778,9,0.222222222222222,FALSE,0.111111111111111,FALSE,1,2,1,"Max Holloway",70,"1_Conor McGregor_2013-08-17","70_Max Holloway_2013-08-17",70,"win","Max Holloway","UFC Fight Night 26 - Shogun vs. Sonnen",3,"5:00","Decision (Unanimous)",2013-08-17,1,1,FALSE,5,10,9,0.866666666666667,15,0.866666666666667,TRUE,0.133333333333333,FALSE,2,13,4.33333333333333,"Conor McGregor",1,"70_Max Holloway_2013-08-17",-1,0,-11,-1
"8",1,"win","Andre Fili","UFC 172 - Jones vs. Teixeira",3,"3:39","Submission (Guillotine Choke)",2014-04-26,1,1,FALSE,5,2,1,0.727272727272727,11,0.272727272727273,TRUE,0.0909090909090909,FALSE,1,3,1.5,"Max Holloway",9,"1_Andre Fili_2014-04-26","9_Max Holloway_2014-04-26",9,"loss","Max Holloway","UFC 172 - Jones vs. Teixeira",3,"3:39","Submission (Guillotine Choke)",2014-04-26,0,1,TRUE,4,1,9,0.928571428571429,14,0.714285714285714,TRUE,0.0714285714285714,FALSE,1,10,5,"Andre Fili",1,"9_Max Holloway_2014-04-26",0,0,-7,0
"9",1,"win","Akira Corassani","UFC Fight Night 53 - Nelson vs. Story",1,"3:11","KO (Punches)",2014-10-04,1,1,FALSE,5,4,3,0.769230769230769,13,0.384615384615385,TRUE,0.0769230769230769,FALSE,1,5,2.5,"Max Holloway",81,"1_Akira Corassani_2014-10-04","81_Max Holloway_2014-10-04",81,"loss","Max Holloway","UFC Fight Night 53 - Nelson vs. Story",1,"3:11","KO (Punches)",2014-10-04,0,0,FALSE,9,2,-1,0.705882352941177,17,0.294117647058824,FALSE,0.294117647058824,TRUE,5,5,0.833333333333333,"Akira Corassani",1,"81_Max Holloway_2014-10-04",1,-1,0,-4
"10",1,"win","Cole Miller","UFC Fight Night 60 - Henderson vs. Thatch",3,"5:00","Decision (Unanimous)",2015-02-14,1,1,FALSE,5,5,4,0.785714285714286,14,0.428571428571429,TRUE,0.0714285714285714,FALSE,1,6,3,"Max Holloway",185,"1_Cole Miller_2015-02-14","185_Max Holloway_2015-02-14",185,"loss","Max Holloway","UFC Fight Night 60 - Henderson vs. Thatch",3,"5:00","Decision (Unanimous)",2015-02-14,0,1,TRUE,16,1,2,0.724137931034483,29,0.620689655172414,TRUE,0.0689655172413793,FALSE,2,18,6,"Cole Miller",1,"185_Max Holloway_2015-02-14",0,0,-12,-1
