"","FighterId.x","Event.x","Result.x","Opponent.x","Round.x","Time.x","Method.x","DateEvent.x","Outcome.x","PreviousOutcome.x","start.x","streak_id.x","streak.x","StreakLength.x","WinRatio.x","CountFights.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishedPrevious.x","FinishedCount.x","FinishCount.x","DamageDiff.x","Fighter.x","OpponentId.x","FighterComposite","OpponentComposite","FighterId.y","Event.y","Result.y","Opponent.y","Round.y","Time.y","Method.y","DateEvent.y","Outcome.y","PreviousOutcome.y","start.y","streak_id.y","streak.y","StreakLength.y","WinRatio.y","CountFights.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishedPrevious.y","FinishedCount.y","FinishCount.y","DamageDiff.y","Fighter.y","OpponentId.y","FighterComposite.y","IdKey"
"1",1,"Main Event Sports - Main Event MMA 3","win","John Martinez",1,"3:41","TKO (Punches)",2014-08-16,1,1,FALSE,1,3,2,1,2,1,TRUE,0,FALSE,0,2,2,"Ricky Simon",286,"1_John Martinez_2014-08-16","286_Ricky Simon_2014-08-16",286,"Main Event Sports - Main Event MMA 3","loss","Ricky Simon",1,"3:41","TKO (Punches)",2014-08-16,0,0,FALSE,4,6,-5,0.2,15,0.2,FALSE,0.733333333333333,TRUE,11,3,0.25,"John Martinez",1,"286_Ricky Simon_2014-08-16",287
"2",1,"KOTC - Heavy Trauma","win","Eduardo Torres",3,"5:00","Decision (Unanimous)",2017-02-04,1,0,TRUE,3,1,-1,0.875,8,0.5,FALSE,0.125,TRUE,1,4,2,"Ricky Simon",390,"1_Eduardo Torres_2017-02-04","390_Ricky Simon_2017-02-04",390,"KOTC - Heavy Trauma","loss","Ricky Simon",3,"5:00","Decision (Unanimous)",2017-02-04,0,0,FALSE,10,2,-1,0.5,12,0.333333333333333,FALSE,0.166666666666667,FALSE,2,4,1.33333333333333,"Eduardo Torres",1,"390_Ricky Simon_2017-02-04",391
"3",1,"KOTC - Headstrong","win","Charon Spain",1,"1:56","Submission (Arm-Triangle Choke)",2017-05-27,1,1,FALSE,3,2,1,0.888888888888889,9,0.444444444444444,FALSE,0.111111111111111,FALSE,1,4,2,"Ricky Simon",373,"1_Charon Spain_2017-05-27","373_Ricky Simon_2017-05-27",373,"KOTC - Headstrong","loss","Ricky Simon",1,"1:56","Submission (Arm-Triangle Choke)",2017-05-27,0,1,TRUE,19,1,2,0.368421052631579,38,0.368421052631579,TRUE,0.5,FALSE,19,14,0.7,"Charon Spain",1,"373_Ricky Simon_2017-05-27",374
"4",1,"UFC 227 - Dillashaw vs. Garbrandt 2","win","Montel Jackson",3,"5:00","Decision (Unanimous)",2018-08-04,1,1,FALSE,3,7,6,0.928571428571429,14,0.5,TRUE,0.0714285714285714,FALSE,1,7,3.5,"Ricky Simon",6,"1_Montel Jackson_2018-08-04","6_Ricky Simon_2018-08-04",6,"UFC 227 - Dillashaw vs. Garbrandt 2","loss","Ricky Simon",3,"5:00","Decision (Unanimous)",2018-08-04,0,1,TRUE,2,1,6,1,6,0.833333333333333,TRUE,0,FALSE,0,5,5,"Montel Jackson",1,"6_Ricky Simon_2018-08-04",7
"5",1,"UFC 258 - Usman vs. Burns","win","Brian Kelleher",3,"5:00","Decision (Unanimous)",2021-02-13,1,1,FALSE,5,3,2,0.85,20,0.4,TRUE,0.1,FALSE,2,8,2.66666666666667,"Ricky Simon",169,"1_Brian Kelleher_2021-02-13","169_Ricky Simon_2021-02-13",169,"UFC 258 - Usman vs. Burns","loss","Ricky Simon",3,"5:00","Decision (Unanimous)",2021-02-13,0,1,TRUE,15,1,1,0.666666666666667,33,0.545454545454545,TRUE,0.212121212121212,FALSE,7,18,2.25,"Brian Kelleher",1,"169_Ricky Simon_2021-02-13",170
"6",10,"UFC Fight Night 107 - Manuwa vs. Anderson","win","Brad Pickett",3,"3:50","TKO (Head Kick and Punches)",2017-03-18,1,1,FALSE,7,2,1,0.666666666666667,12,0.5,FALSE,0.0833333333333333,FALSE,1,6,3,"Marlon Vera",102,"10_Brad Pickett_2017-03-18","102_Marlon Vera_2017-03-18",102,"UFC Fight Night 107 - Manuwa vs. Anderson","loss","Marlon Vera",3,"3:50","TKO (Head Kick and Punches)",2017-03-18,0,0,FALSE,18,3,-2,0.657894736842105,38,0.447368421052632,FALSE,0.184210526315789,FALSE,7,17,2.125,"Brad Pickett",10,"102_Marlon Vera_2017-03-18",112
"7",10,"UFC on Fox 25 - Weidman vs. Gastelum","win","Brian Kelleher",1,"2:18","Submission (Armbar)",2017-07-22,1,1,FALSE,7,3,2,0.692307692307692,13,0.538461538461538,TRUE,0.0769230769230769,FALSE,1,7,3.5,"Marlon Vera",169,"10_Brian Kelleher_2017-07-22","169_Marlon Vera_2017-07-22",169,"UFC on Fox 25 - Weidman vs. Gastelum","loss","Marlon Vera",1,"2:18","Submission (Armbar)",2017-07-22,0,1,TRUE,9,1,7,0.708333333333333,24,0.583333333333333,TRUE,0.166666666666667,FALSE,4,14,2.8,"Brian Kelleher",10,"169_Marlon Vera_2017-07-22",179
"8",10,"UFC Fight Night 125 - Machida vs. Anders","loss","Douglas Silva de Andrade",3,"5:00","Decision (Unanimous)",2018-02-03,0,0,FALSE,8,2,-1,0.666666666666667,15,0.533333333333333,FALSE,0.0666666666666667,FALSE,1,8,4,"Marlon Vera",83,"10_Douglas Silva de Andrade_2018-02-03","83_Marlon Vera_2018-02-03",83,"UFC Fight Night 125 - Machida vs. Anders","win","Marlon Vera",3,"5:00","Decision (Unanimous)",2018-02-03,1,0,TRUE,7,1,-1,0.888888888888889,27,0.740740740740741,FALSE,0.0740740740740741,TRUE,2,20,6.66666666666667,"Douglas Silva de Andrade",10,"83_Marlon Vera_2018-02-03",93
"9",10,"UFC Fight Night 148 - Thompson vs. Pettis","win","Frankie Saenz",1,"1:25","TKO (Punches)",2019-03-23,1,1,FALSE,9,3,2,0.666666666666667,18,0.555555555555556,TRUE,0.0555555555555556,FALSE,1,10,5,"Marlon Vera",104,"10_Frankie Saenz_2019-03-23","104_Marlon Vera_2019-03-23",104,"UFC Fight Night 148 - Thompson vs. Pettis","loss","Marlon Vera",1,"1:25","TKO (Punches)",2019-03-23,0,1,TRUE,6,1,2,0.705882352941177,17,0.294117647058824,FALSE,0.176470588235294,FALSE,3,5,1.25,"Frankie Saenz",10,"104_Marlon Vera_2019-03-23",114
"10",10,"UFC Fight Night 161 - Jedrzejczyk vs. Waterson","win","Andre Ewell",3,"3:17","TKO (Elbow and Punches)",2019-10-12,1,1,FALSE,9,5,4,0.7,20,0.6,TRUE,0.05,FALSE,1,12,6,"Marlon Vera",302,"10_Andre Ewell_2019-10-12","302_Marlon Vera_2019-10-12",302,"UFC Fight Night 161 - Jedrzejczyk vs. Waterson","loss","Marlon Vera",3,"3:17","TKO (Elbow and Punches)",2019-10-12,0,1,TRUE,12,1,1,0.75,20,0.55,FALSE,0.15,FALSE,3,11,2.75,"Andre Ewell",10,"302_Marlon Vera_2019-10-12",312
