"","rowid","fighterName","Opponent"
"1",1,"/fighter/Ricky-Simon-111209","Ricky Simon"
"2",2,"/fighter/Ray-Rodriguez-78078","Ray Rodriguez"
"3",3,"/fighter/Cody-Stamann-61896","Cody Stamann"
"4",4,"/fighter/Hunter-Azure-251727","Hunter Azure"
"5",5,"/fighter/Ode-Osbourne-137969","Ode Osbourne"
"6",6,"/fighter/Montel-Jackson-206717","Montel Jackson"
"7",7,"/fighter/John-Lineker-41906","John Lineker"
"8",8,"/fighter/Renan-Barao-23156","Renan Barao"
"9",9,"/fighter/Damian-Stasiak-86920","Damian Stasiak"
"10",10,"/fighter/Marlon-Vera-97179","Marlon Vera"
"11",11,"/fighter/Iuri-Alcantara-16129","Iuri Alcantara"
"12",12,"/fighter/Julio-Arce-71299","Julio Arce"
"13",13,"/fighter/Josh-Robinson-43479","Josh Robinson"
"14",14,"/fighter/Jay-Haas-52094","Jay Haas"
"15",15,"/fighter/Andre-Soukhamthath-67967","Andre Soukhamthath"
"16",16,"/fighter/Mark-Cherico-56202","Mark Cherico"
"17",17,"/fighter/Andy-Main-45236","Andy Main"
"18",18,"/fighter/Lester-Caslow-23402","Lester Caslow"
"19",19,"/fighter/Jeff-Smith-55432","Jeff Smith"
"20",20,"/fighter/Scott-Heckman-55760","Scott Heckman"
"21",21,"/fighter/Jimmie-Rivera-40954","Jimmie Rivera"
"22",22,"/fighter/Tyler-Kahihikolo-16626","Tyler Kahihikolo"
"23",23,"/fighter/Bill-Jones-33415","Bill Jones"
"24",24,"/fighter/Ryan-Vaccaro-60668","Ryan Vaccaro"
"25",25,"/fighter/Raphael-Chaves-25924","Raphael Chaves"
"26",26,"/fighter/Josh-Parker-46311","Josh Parker"
"27",27,"/fighter/Artur-Rofi-71379","Artur Rofi"
"28",28,"/fighter/Claudio-Ledesma-61676","Claudio Ledesma"
"29",29,"/fighter/Michael-LaDuke-15514","Michael LaDuke"
"30",30,"/fighter/Manny-Millan-67956","Manny Millan"
"31",31,"/fighter/Siyam-Yousefi-67554","Siyam Yousefi"
"32",32,"/fighter/Nate-Ainsworth-48508","Nate Ainsworth"
"33",33,"/fighter/Dan-Cion-80488","Dan Cion"
"34",34,"/fighter/Samad-Mobley-63459","Samad Mobley"
"35",35,"/fighter/Mark-Carrow-53668","Mark Carrow"
"36",36,"/fighter/Jordan-Litz-53667","Jordan Litz"
"37",37,"/fighter/Enzo-Maria-Iezzi-238427","Enzo Maria Iezzi"
"38",38,"/fighter/Percy-Herrera-198985","Percy Herrera"
"39",39,"/fighter/Joziro-Boye-73774","Joziro Boye"
"40",40,"/fighter/Carlos-Eduardo-de-Azevedo-161763","Carlos Eduardo de Azevedo"
"41",41,"/fighter/Manolo-Scianna-177765","Manolo Scianna"
"42",42,"/fighter/Alfonso-Perez-45256","Alfonso Perez"
"43",43,"/fighter/Daniel-Requeijo-83783","Daniel Requeijo"
"44",44,"/fighter/Lasha-Jikuri-189547","Lasha Jikuri"
"45",45,"/fighter/Arnold-Allen-97499","Arnold Allen"
"46",46,"/fighter/Farid-el-Said-105797","Farid el Said"
"47",47,"/fighter/Vladimir-Egoyan-60331","Vladimir Egoyan"
"48",48,"/fighter/Igor-Egorov-101177","Igor Egorov"
