"","rowid","Event","Result","Fighter","Round","Time","Method","DateEvent","Outcome","PreviousOutcome","start","streak_id","streak","StreakLength","WinRatio","CountFights","FinishRatio","FinishPrevious","FinishedRatio","FinishedPrevious","FinishedCount","FinishCount","DamageDiff"
"1","1","Main Event Sports - Main Event MMA 1","win","Alex Eastman",1,"1:34","TKO (Punches)",2014-01-18,1,NA,TRUE,1,1,NA,NA,0,NA,NA,NA,NA,0,0,0
"2","1","Main Event Sports - Main Event MMA 2","win","Kendall Ward",1,"0:49","TKO (Punches)",2014-04-19,1,1,FALSE,1,2,1,1,1,1,TRUE,0,FALSE,0,1,1
"3","1","Main Event Sports - Main Event MMA 3","win","John Martinez",1,"3:41","TKO (Punches)",2014-08-16,1,1,FALSE,1,3,2,1,2,1,TRUE,0,FALSE,0,2,2
"4","1","FCFF - Rumble at the Roseland 80","win","Cole Milani",1,"0:55","TKO (Punches)",2015-01-24,1,1,FALSE,1,4,3,1,3,1,TRUE,0,FALSE,0,3,3
"5","1","KOTC - Warrior's Spirit","win","Paul Njoku",3,"5:00","Decision (Unanimous)",2015-03-21,1,1,FALSE,1,5,4,1,4,1,TRUE,0,FALSE,0,4,4
"6","1","TPF 24 - Summer Brawl","win","Jeremiah Labiano",3,"5:00","Decision (Split)",2015-08-06,1,1,FALSE,1,6,5,1,5,0.8,FALSE,0,FALSE,0,4,4
"7","1","Titan FC 35 - Healy vs. Hawn","win","Alex Soto",3,"5:00","Decision (Unanimous)",2015-09-19,1,1,FALSE,1,7,6,1,6,0.666666666666667,FALSE,0,FALSE,0,4,4
"8","1","Titan FC 37 - Simon vs. Dos Santos","loss","Anderson dos Santos",2,"2:38","Technical Submission (Rear-Naked Choke)",2016-03-04,0,1,TRUE,2,1,7,1,7,0.571428571428571,FALSE,0,FALSE,0,4,4
"9","1","KOTC - Heavy Trauma","win","Eduardo Torres",3,"5:00","Decision (Unanimous)",2017-02-04,1,0,TRUE,3,1,-1,0.875,8,0.5,FALSE,0.125,TRUE,1,4,2
"10","1","KOTC - Headstrong","win","Charon Spain",1,"1:56","Submission (Arm-Triangle Choke)",2017-05-27,1,1,FALSE,3,2,1,0.888888888888889,9,0.444444444444444,FALSE,0.111111111111111,FALSE,1,4,2
