"","rowid","Result","Fighter","Event","Method.Referee","R","Time","Date","VS..Fighter","Location","NA."
"1","1","win","Brian Kelleher","UFC 258 - Usman vs. BurnsFeb / 13 / 2021","Decision (Unanimous)Keith Peterson",3,"5:00",NA,NA,NA,NA
"2","1","win","Gaetano Pirrello","UFC on ESPN 20 - Chiesa vs. MagnyJan / 20 / 2021","Submission (Arm-Triangle Choke)Keith Peterson",2,"4:00",NA,NA,NA,NA
"3","1","win","Ray Borg","UFC Fight Night 171 - Smith vs. TeixeiraMay / 13 / 2020","Decision (Split)Keith Peterson",3,"5:00",NA,NA,NA,NA
"4","1","loss","Rob Font","UFC on ESPN 7 - Overeem vs. RozenstruikDec / 07 / 2019","Decision (Unanimous)Fernando Yamasaki",3,"5:00",NA,NA,NA,NA
"5","1","loss","Urijah Faber","UFC Fight Night 155 - De Randamie vs. LaddJul / 13 / 2019","TKO (Punches)Mike Beltran",1,"0:46",NA,NA,NA,NA
"6","1","win","Rani Yahya","UFC 234 - Adesanya vs. SilvaFeb / 09 / 2019","Decision (Unanimous)Steve Perceval",3,"5:00",NA,NA,NA,NA
"7","1","win","Montel Jackson","UFC 227 - Dillashaw vs. Garbrandt 2Aug / 04 / 2018","Decision (Unanimous)Frank Trigg",3,"5:00",NA,NA,NA,NA
"8","1","win","Merab Dvalishvili","UFC Fight Night 128 - Barboza vs. LeeApr / 21 / 2018","Technical Submission (Guillotine Choke)Liam Kerrigan",3,"5:00",NA,NA,NA,NA
"9","1","win","Vinicius Zani","LFA 36 - Simon vs. ZaniMar / 23 / 2018","KO (Punches)Jason Herzog",1,"0:59",NA,NA,NA,NA
"10","1","win","Chico Camus","LFA 29 - Camus vs. SimonDec / 15 / 2017","Decision (Unanimous)Travis Metteer",5,"5:00",NA,NA,NA,NA
"11","1","win","Donavon Frelow","Dana White's Tuesday Night Contender Series - Season 1, Episode 5Aug / 08 / 2017","Decision (Split)Jason Herzog",3,"5:00",NA,NA,NA,NA
"12","1","win","Charon Spain","KOTC - HeadstrongMay / 27 / 2017","Submission (Arm-Triangle Choke)Steve Newport",1,"1:56",NA,NA,NA,NA
"13","1","win","Eduardo Torres","KOTC - Heavy TraumaFeb / 04 / 2017","Decision (Unanimous)Kelly Whitlock",3,"5:00",NA,NA,NA,NA
"14","1","loss","Anderson dos Santos","Titan FC 37 - Simon vs. Dos SantosMar / 04 / 2016","Technical Submission (Rear-Naked Choke)Steve Newport",2,"2:38",NA,NA,NA,NA
"15","1","win","Alex Soto","Titan FC 35 - Healy vs. HawnSep / 19 / 2015","Decision (Unanimous)Steve Newport",3,"5:00",NA,NA,NA,NA
"16","1","win","Jeremiah Labiano","TPF 24 - Summer BrawlAug / 06 / 2015","Decision (Split)Mark Lawley",3,"5:00",NA,NA,NA,NA
"17","1","win","Paul Njoku","KOTC - Warrior's SpiritMar / 21 / 2015","Decision (Unanimous)Shawn Gregory",3,"5:00",NA,NA,NA,NA
"18","1","win","Cole Milani","FCFF - Rumble at the Roseland 80Jan / 24 / 2015","TKO (Punches)Aaron Brounstein",1,"0:55",NA,NA,NA,NA
"19","1","win","John Martinez","Main Event Sports - Main Event MMA 3Aug / 16 / 2014","TKO (Punches)Steve Newport",1,"3:41",NA,NA,NA,NA
"20","1","win","Kendall Ward","Main Event Sports - Main Event MMA 2Apr / 19 / 2014","TKO (Punches)Steve Newport",1,"0:49",NA,NA,NA,NA
"21","1","win","Alex Eastman","Main Event Sports - Main Event MMA 1Jan / 18 / 2014","TKO (Punches)Ryan Hoisington",1,"1:34",NA,NA,NA,NA
"22","2",NA,NA,"UFC Fight Night 187
                                        
                                        
                                            
                                                March 13, 2021 / UFC Apex, Las Vegas, Nevada, United States
                                                
                                            
                                            
                                                Versus
                                                
                                                    
                                                    Ray Rodriguez
                                                    16 - 7 - 0
                                                    (Win - Loss - Draw)
                                                
                                                
                                                    
                                                    Rani Yahya
                                                    26 - 10 - 1
                                                    (Win - Loss - Draw)
                                                
                                            
                                            
                                                See entire fight card",NA,NA,NA,"UFC Fight Night 187
                                        
                                        
                                            
                                                March 13, 2021 / UFC Apex, Las Vegas, Nevada, United States
                                                
                                            
                                            
                                                Versus
                                                
                                                    
                                                    Ray Rodriguez
                                                    16 - 7 - 0
                                                    (Win - Loss - Draw)
                                                
                                                
                                                    
                                                    Rani Yahya
                                                    26 - 10 - 1
                                                    (Win - Loss - Draw)
                                                
                                            
                                            
                                                See entire fight card","UFC Fight Night 187
                                        
                                        
                                            
                                                March 13, 2021 / UFC Apex, Las Vegas, Nevada, United States
                                                
                                            
                                            
                                                Versus
                                                
                                                    
                                                    Ray Rodriguez
                                                    16 - 7 - 0
                                                    (Win - Loss - Draw)
                                                
                                                
                                                    
                                                    Rani Yahya
                                                    26 - 10 - 1
                                                    (Win - Loss - Draw)
                                                
                                            
                                            
                                                See entire fight card","UFC Fight Night 187
                                        
                                        
                                            
                                                March 13, 2021 / UFC Apex, Las Vegas, Nevada, United States
                                                
                                            
                                            
                                                Versus
                                                
                                                    
                                                    Ray Rodriguez
                                                    16 - 7 - 0
                                                    (Win - Loss - Draw)
                                                
                                                
                                                    
                                                    Rani Yahya
                                                    26 - 10 - 1
                                                    (Win - Loss - Draw)
                                                
                                            
                                            
                                                See entire fight card",NA
"23","3","loss","Jimmie Rivera","UFC on ESPN 13 - Kattar vs. IgeJul / 15 / 2020","Decision (Unanimous)Daniel Movahedi",3,"5:00",NA,NA,NA,NA
"24","3","win","Brian Kelleher","UFC 250 - Nunes vs. SpencerJun / 06 / 2020","Decision (Unanimous)Mark Smith",3,"5:00",NA,NA,NA,NA
"25","3","draw","Yadong Song","UFC on ESPN 7 - Overeem vs. RozenstruikDec / 07 / 2019","Draw (Majority)Kevin Mulhall",3,"5:00",NA,NA,NA,NA
"26","3","win","Alejandro Perez","UFC 235 - Jones vs. SmithMar / 02 / 2019","Decision (Unanimous)Chris Tognoni",3,"5:00",NA,NA,NA,NA
"27","3","loss","Aljamain Sterling","UFC 228 - Woodley vs. TillSep / 08 / 2018","Submission (Kneebar)Kevin MacDonald",2,"3:42",NA,NA,NA,NA
"28","3","win","Bryan Caraway","UFC 222 - Cyborg vs. KunitskayaMar / 03 / 2018","Decision (Split)Chris Tognoni",3,"5:00",NA,NA,NA,NA
"29","3","win","Tom Duquesnoy","UFC 216 - Ferguson vs. LeeOct / 07 / 2017","Decision (Split)Chris Tognoni",3,"5:00",NA,NA,NA,NA
"30","3","win","Terrion Ware","UFC 213 - Romero vs. WhittakerJul / 08 / 2017","Decision (Unanimous)Marc Goddard",3,"5:00",NA,NA,NA,NA
"31","3","win","Zac Church","KOP 55 - KnockOut Promotions 55Apr / 29 / 2017","TKO (Doctor Stoppage)Herb Dean",2,"2:38",NA,NA,NA,NA
"32","3","win","Bill Kamery","KOP 54 - Stamann vs. KameryMar / 17 / 2017","TKO (Punches)N/A",1,"4:59",NA,NA,NA,NA
"33","3","win","Stephen Cervantes","KOP 51 - KnockOut Promotions 51Nov / 05 / 2016","Decision (Majority)N/A",3,"5:00",NA,NA,NA,NA
"34","3","win","Erik Vo","KOP 50 - KnockOut Promotions 50Aug / 27 / 2016","Submission (Kimura)N/A",3,"1:22",NA,NA,NA,NA
"35","3","win","Farkhad Sharipov","KOP 48 - Inaugural Pro-AmMar / 26 / 2016","Decision (Unanimous)N/A",3,"5:00",NA,NA,NA,NA
