"","rowid","Result","Fighter","Event","Method.Referee","R","Time","Date","VS..Fighter","Location","NA."
"1","1","loss","Khabib Nurmagomedov","UFC 254 - Nurmagomedov vs. GaethjeOct / 24 / 2020","Technical Submission (Triangle Choke)Jason Herzog",2,"1:34",NA,NA,NA,NA
"2","1","win","Tony Ferguson","UFC 249 - Ferguson vs. GaethjeMay / 09 / 2020","TKO (Punch)Herb Dean",5,"3:39",NA,NA,NA,NA
"3","1","win","Donald Cerrone","UFC Fight Night 158 - Cowboy vs. GaethjeSep / 14 / 2019","TKO (Punches)Jerin Valel",1,"4:18",NA,NA,NA,NA
"4","1","win","Edson Barboza","UFC on ESPN 2 - Barboza vs. GaethjeMar / 30 / 2019","KO (Punch)Keith Peterson",1,"2:30",NA,NA,NA,NA
"5","1","win","James Vick","UFC Fight Night 135 - Gaethje vs. VickAug / 25 / 2018","KO (Punches)Kevin MacDonald",1,"1:27",NA,NA,NA,NA
"6","1","loss","Dustin Poirier","UFC on Fox 29 - Poirier vs. GaethjeApr / 14 / 2018","TKO (Punches)Herb Dean",4,"0:33",NA,NA,NA,NA
"7","1","loss","Eddie Alvarez","UFC 218 - Holloway vs. Aldo 2Dec / 02 / 2017","KO (Knee)Herb Dean",3,"3:59",NA,NA,NA,NA
"8","1","win","Michael Johnson","UFC - The Ultimate Fighter 25 FinaleJul / 07 / 2017","TKO (Punches and Knees)John McCarthy",2,"4:48",NA,NA,NA,NA
"9","1","win","Luiz Firmino","WSOF 34 - Gaethje vs. FirminoDec / 31 / 2016","TKO (Doctor Stoppage)Dan Miragliotta",3,"5:00",NA,NA,NA,NA
"10","1","win","Brian Foster","WSOF 29 - Gaethje vs. FosterMar / 12 / 2016","TKO (Leg Kicks)Tom Johnson",1,"1:43",NA,NA,NA,NA
"11","1","win","Luis Palomino","WSOF 23 - Gaethje vs. Palomino 2Sep / 18 / 2015","TKO (Punches)Ryan Brueggeman",2,"4:30",NA,NA,NA,NA
"12","1","win","Luis Palomino","WSOF 19 - Gaethje vs. PalominoMar / 28 / 2015","TKO (Leg Kicks and Punches)Al Guinee",3,"3:57",NA,NA,NA,NA
"13","1","win","Melvin Guillard","WSOF 15 - Branch vs. OkamiNov / 15 / 2014","Decision (Split)Andrew Glenn",3,"5:00",NA,NA,NA,NA
"14","1","win","Nick Newell","WSOF 11 - Gaethje vs. NewellJul / 05 / 2014","TKO (Punches)Telis Assimenios",2,"3:09",NA,NA,NA,NA
"15","1","win","Richard Patishnock","WSOF 8 - Gaethje vs. PatishnockJan / 18 / 2014","TKO (Punches and Elbows)Troy Waugh",1,"1:09",NA,NA,NA,NA
"16","1","win","Dan Lauzon","WSOF 6 - Burkman vs. CarlOct / 26 / 2013","KO (Punches)Jorge Alonso",2,"1:40",NA,NA,NA,NA
"17","1","win","Brian Cobb","WSOF 3 - Fitch vs. Burkman 2Jun / 14 / 2013","TKO (Leg Kicks)Steve Mazzagatti",3,"2:19",NA,NA,NA,NA
"18","1","win","Gesias Cavalcante","WSOF 2 - Arlovski vs. JohnsonMar / 23 / 2013","TKO (Doctor Stoppage)Keith Peterson",1,"2:27",NA,NA,NA,NA
"19","1","win","Adrian Valdez","RITC - Rage in the Cage 164Nov / 16 / 2012","TKO (Punches)N/A",2,"0:19",NA,NA,NA,NA
"20","1","win","Drew Fickett","RITC  - Rage in the Cage 163Oct / 20 / 2012","KO (Punch)N/A",1,"0:12",NA,NA,NA,NA
"21","1","win","Sam Young","RITC - Rage in the Cage 162Sep / 29 / 2012","Submission (Rear-Naked Choke)N/A",2,"1:58",NA,NA,NA,NA
"22","1","win","Marcus Edwards","ROF 43 - Bad BloodJun / 02 / 2012","Decision (Unanimous)Tom Johnson",3,"5:00",NA,NA,NA,NA
"23","1","win","Donnie Bell","ROF 42 - Who's NextDec / 17 / 2011","TKO (Punches)Eric Heinz",2,"2:57",NA,NA,NA,NA
"24","1","win","Joe Kelso","BTT MMA 2 - GenesisOct / 01 / 2011","TKO (Punches)Adam Martinez",1,"4:32",NA,NA,NA,NA
"25","1","win","Kevin Croom","ROF 41 - Bragging RightsAug / 20 / 2011","KO (Slam)Tom Johnson",1,"1:01",NA,NA,NA,NA
"26","2","win","Conor McGregor","UFC 257 - Poirier vs. McGregor 2Jan / 23 / 2021","KO (Punches)Herb Dean",2,"2:32",NA,NA,NA,NA
"27","2","win","Dan Hooker","UFC on ESPN 12 - Poirier vs. HookerJun / 27 / 2020","Decision (Unanimous)Herb Dean",5,"5:00",NA,NA,NA,NA
"28","2","loss","Khabib Nurmagomedov","UFC 242 - Khabib vs. PoirierSep / 07 / 2019","Submission (Rear-Naked Choke)Marc Goddard",3,"2:06",NA,NA,NA,NA
"29","2","win","Max Holloway","UFC 236 - Holloway vs. PoirierApr / 13 / 2019","Decision (Unanimous)Blake Grice",5,"5:00",NA,NA,NA,NA
"30","2","win","Eddie Alvarez","UFC on Fox 30 - Alvarez vs. Poirier 2Jul / 28 / 2018","TKO (Punches)Marc Goddard",2,"4:05",NA,NA,NA,NA
"31","2","win","Justin Gaethje","UFC on Fox 29 - Poirier vs. GaethjeApr / 14 / 2018","TKO (Punches)Herb Dean",4,"0:33",NA,NA,NA,NA
"32","2","win","Anthony Pettis","UFC Fight Night 120 - Poirier vs. PettisNov / 11 / 2017","Submission (Body Triangle)Keith Peterson",3,"2:08",NA,NA,NA,NA
"33","2","NC","Eddie Alvarez","UFC 211 - Miocic vs. Dos Santos 2May / 13 / 2017","No Contest (Accidental Knee)Herb Dean",2,"4:12",NA,NA,NA,NA
"34","2","win","Jim Miller","UFC 208 - Holm vs. De RandamieFeb / 11 / 2017","Decision (Majority)Todd Anderson",3,"5:00",NA,NA,NA,NA
"35","2","loss","Michael Johnson","UFC Fight Night 94 - Poirier vs. JohnsonSep / 17 / 2016","KO (Punches)Dan Miragliotta",1,"1:35",NA,NA,NA,NA
"36","2","win","Bobby Green","UFC 199 - Rockhold vs. Bisping 2Jun / 04 / 2016","KO (Punches)Jason Herzog",1,"2:53",NA,NA,NA,NA
"37","2","win","Joseph Duffy","UFC 195 - Lawler vs. ConditJan / 02 / 2016","Decision (Unanimous)Chris Tognoni",3,"5:00",NA,NA,NA,NA
"38","2","win","Yancy Medeiros","UFC Fight Night 68 - Boetsch vs. HendersonJun / 06 / 2015","TKO (Punches)John McCarthy",1,"2:38",NA,NA,NA,NA
"39","2","win","Diego Ferreira","UFC Fight Night 63 - Mendes vs. LamasApr / 04 / 2015","KO (Punches)Todd McGovern",1,"3:45",NA,NA,NA,NA
"40","2","loss","Conor McGregor","UFC 178 - Johnson vs. CariasoSep / 27 / 2014","TKO (Punches)Herb Dean",1,"1:46",NA,NA,NA,NA
"41","2","win","Akira Corassani","UFC - The Ultimate Fighter Nations FinaleApr / 16 / 2014","TKO (Punches)Dan Miragliotta",2,"0:42",NA,NA,NA,NA
"42","2","win","Diego Brandao","UFC 168 - Weidman vs. Silva 2Dec / 28 / 2013","KO (Punches)Mario Yamasaki",1,"4:54",NA,NA,NA,NA
"43","2","win","Erik Koch","UFC 164 - Henderson vs. Pettis 2Aug / 31 / 2013","Decision (Unanimous)Rob Hinds",3,"5:00",NA,NA,NA,NA
"44","2","loss","Cub Swanson","UFC on Fuel TV 7 - Barao vs. McDonaldFeb / 16 / 2013","Decision (Unanimous)Kevin Mulhall",3,"5:00",NA,NA,NA,NA
"45","2","win","Jonathan Brookins","UFC - The Ultimate Fighter 16 FinaleDec / 15 / 2012","Submission (Brabo Choke)Herb Dean",1,"4:15",NA,NA,NA,NA
"46","2","loss","Chan Sung Jung","UFC on Fuel TV 3 - Korean Zombie vs. PoirierMay / 15 / 2012","Technical Submission (Brabo Choke)Dan Miragliotta",4,"1:07",NA,NA,NA,NA
"47","2","win","Max Holloway","UFC 143 - Diaz vs. ConditFeb / 04 / 2012","Submission (Triangle Armbar)Steve Mazzagatti",1,"3:23",NA,NA,NA,NA
"48","2","win","Pablo Garza","UFC on Fox 1 - Velasquez vs. Dos SantosNov / 12 / 2011","Submission (Brabo Choke)Larry Landless",2,"1:32",NA,NA,NA,NA
"49","2","win","Jason Young","UFC 131 - Dos Santos vs. CarwinJun / 11 / 2011","Decision (Unanimous)John McCarthy",3,"5:00",NA,NA,NA,NA
"50","2","win","Josh Grispi","UFC 125 - ResolutionJan / 01 / 2011","Decision (Unanimous)Steve Mazzagatti",3,"5:00",NA,NA,NA,NA
"51","2","win","Zachary Micklewright","WEC 52 - Faber vs. MizugakiNov / 11 / 2010","TKO (Punches)Kim Winslow",1,"0:53",NA,NA,NA,NA
"52","2","loss","Danny Castillo","WEC 50 - Cruz vs. Benavidez 2Aug / 18 / 2010","Decision (Unanimous)Josh Rosenthal",3,"5:00",NA,NA,NA,NA
"53","2","win","Derek Gauthier","Ringside MMA 7 - No EscapeJun / 18 / 2010","KO (Punches)Marc-Andre Cote",1,"0:57",NA,NA,NA,NA
"54","2","win","Derrick Krantz","USA MMA - Night of Champions 2Mar / 06 / 2010","Submission (Armbar)N/A",2,"3:35",NA,NA,NA,NA
"55","2","win","Ronnie Lis","USA MMA - Border War 2Nov / 13 / 2009","Submission (Armbar)N/A",1,"0:51",NA,NA,NA,NA
"56","2","win","Daniel Watts","BFC - Bang Fighting ChampionshipsOct / 31 / 2009","KO (Punches)N/A",1,"1:26",NA,NA,NA,NA
"57","2","win","Joe Torrez","USA MMA 8 - Natural Disaster 3Aug / 01 / 2009","TKO (Punches)N/A",1,"2:37",NA,NA,NA,NA
"58","2","win","Nate Jolly","CFC - Cajun Fighting ChampionshipsJun / 26 / 2009","Submission (Armbar)N/A",2,"3:54",NA,NA,NA,NA
"59","2","win","Aaron Suarez","USA MMA 7 - River City RampageMay / 16 / 2009","KO (Punches)N/A",1,"1:19",NA,NA,NA,NA
"60","3","loss","Dustin Poirier","UFC 257 - Poirier vs. McGregor 2Jan / 23 / 2021","KO (Punches)Herb Dean",2,"2:32",NA,NA,NA,NA
"61","3","win","Donald Cerrone","UFC 246 - McGregor vs. CerroneJan / 18 / 2020","TKO (Head Kick and Punches)Herb Dean",1,"0:40",NA,NA,NA,NA
"62","3","loss","Khabib Nurmagomedov","UFC 229 - Nurmagomedov vs. McGregorOct / 06 / 2018","Submission (Neck Crank)Herb Dean",4,"3:03",NA,NA,NA,NA
"63","3","win","Eddie Alvarez","UFC 205 - Alvarez vs. McGregorNov / 12 / 2016","TKO (Punches)John McCarthy",2,"3:04",NA,NA,NA,NA
"64","3","win","Nate Diaz","UFC 202 - Diaz vs. McGregor 2Aug / 20 / 2016","Decision (Majority)John McCarthy",5,"5:00",NA,NA,NA,NA
"65","3","loss","Nate Diaz","UFC 196 - McGregor vs. DiazMar / 05 / 2016","Submission (Rear-Naked Choke)Herb Dean",2,"4:12",NA,NA,NA,NA
"66","3","win","Jose Aldo","UFC 194 - Aldo vs. McGregorDec / 12 / 2015","KO (Punch)John McCarthy",1,"0:13",NA,NA,NA,NA
"67","3","win","Chad Mendes","UFC 189 - Mendes vs. McGregorJul / 11 / 2015","TKO (Punches)Herb Dean",2,"4:57",NA,NA,NA,NA
"68","3","win","Dennis Siver","UFC Fight Night 59 - McGregor vs. SiverJan / 18 / 2015","TKO (Punches)Herb Dean",2,"1:54",NA,NA,NA,NA
"69","3","win","Dustin Poirier","UFC 178 - Johnson vs. CariasoSep / 27 / 2014","TKO (Punches)Herb Dean",1,"1:46",NA,NA,NA,NA
"70","3","win","Diego Brandao","UFC Fight Night 46 - McGregor vs. BrandaoJul / 19 / 2014","TKO (Punches)Leon Roberts",1,"4:05",NA,NA,NA,NA
"71","3","win","Max Holloway","UFC Fight Night 26 - Shogun vs. SonnenAug / 17 / 2013","Decision (Unanimous)Herb Dean",3,"5:00",NA,NA,NA,NA
"72","3","win","Marcus Brimage","UFC on Fuel TV 9 - Mousasi vs. LatifiApr / 06 / 2013","TKO (Punches)Robert Sundel",1,"1:07",NA,NA,NA,NA
"73","3","win","Ivan Buchinger","CWFC 51 - Cage Warriors Fighting Championship 51Dec / 31 / 2012","KO (Punch)Marc Goddard",1,"3:40",NA,NA,NA,NA
"74","3","win","Dave Hill","CWFC 47 - Cage Warriors Fighting Championship 47Jun / 02 / 2012","Submission (Rear-Naked Choke)Neil Hall",2,"4:10",NA,NA,NA,NA
"75","3","win","Steve O'Keefe","CWFC 45 - Cage Warriors Fighting Championship 45Feb / 18 / 2012","KO (Elbows)Marc Goddard",1,"1:33",NA,NA,NA,NA
"76","3","win","Aaron Jahnsen","CWFC - Fight Night 2Sep / 08 / 2011","TKO (Punches)Neil Hall",1,"3:29",NA,NA,NA,NA
"77","3","win","Artur Sowinski","CG 2 - Clash of the GiantsJun / 11 / 2011","TKO (Punches)N/A",2,"1:12",NA,NA,NA,NA
"78","3","win","Paddy Doherty","IFC - Immortal Fighting Championship 4Apr / 16 / 2011","KO (Punch)N/A",1,"0:04",NA,NA,NA,NA
"79","3","win","Mike Wood","CC 8 - Fields vs. RedmondMar / 12 / 2011","KO (Punches)N/A",1,"0:16",NA,NA,NA,NA
"80","3","win","Hugh Brady","CFC - Chaos Fighting Championships 8Feb / 12 / 2011","TKO (Punches)N/A",1,"2:31",NA,NA,NA,NA
"81","3","loss","Joseph Duffy","CWFC 39 - Cage Warriors 39: The UprisingNov / 27 / 2010","Submission (Arm-Triangle Choke)Marc Goddard",1,"0:38",NA,NA,NA,NA
"82","3","win","Connor Dillon","CFC - Chaos Fighting Championships 7Oct / 09 / 2010","TKO (Corner Stoppage)N/A",1,"4:22",NA,NA,NA,NA
"83","3","win","Stephen Bailey","K.O. - The Fight Before Christmas 1Dec / 12 / 2008","TKO (Punches)N/A",1,"1:22",NA,NA,NA,NA
"84","3","loss","Artemij Sitenkov","COT 3 - Cage of TruthJun / 28 / 2008","Submission (Kneebar)N/A",1,"1:09",NA,NA,NA,NA
"85","3","win","Mo Taylor","Cage Rage - Contenders: Ireland vs. BelgiumMay / 03 / 2008","TKO (Punches)N/A",1,"1:59",NA,NA,NA,NA
"86","3","win","Gary Morris","COT 2 - Cage of TruthMar / 08 / 2008","TKO (Punches)N/A",2,"N/A",NA,NA,NA,NA
"87","4","loss","Dan Hooker","UFC 243 - Whittaker vs. AdesanyaOct / 05 / 2019","Decision (Unanimous)John Sharp",3,"5:00",NA,NA,NA,NA
"88","4","loss","Donald Cerrone","UFC Fight Night 151 - Iaquinta vs. CowboyMay / 04 / 2019","Decision (Unanimous)Jerin Valel",5,"5:00",NA,NA,NA,NA
"89","4","win","Kevin Lee","UFC on Fox 31 - Iaquinta vs. Lee 2Dec / 15 / 2018","Decision (Unanimous)Keith Peterson",5,"5:00",NA,NA,NA,NA
"90","4","loss","Khabib Nurmagomedov","UFC 223 - Khabib vs. IaquintaApr / 07 / 2018","Decision (Unanimous)Dan Miragliotta",5,"5:00",NA,NA,NA,NA
"91","4","win","Diego Sanchez","UFC Fight Night 108 - Swanson vs. LobovApr / 22 / 2017","KO (Punches)John McCarthy",1,"1:38",NA,NA,NA,NA
"92","4","win","Jorge Masvidal","UFC Fight Night 63 - Mendes vs. LamasApr / 04 / 2015","Decision (Split)Keith Peterson",3,"5:00",NA,NA,NA,NA
"93","4","win","Joe Lauzon","UFC 183 - Silva vs. DiazJan / 31 / 2015","TKO (Punches)Marc Goddard",2,"3:34",NA,NA,NA,NA
"94","4","win","Ross Pearson","UFC Fight Night 55 - Rockhold vs. BispingNov / 07 / 2014","TKO (Punches)Leon Roberts",2,"1:39",NA,NA,NA,NA
"95","4","win","Rodrigo Damm","UFC Fight Night 50 - Jacare vs. Mousasi 2Sep / 05 / 2014","TKO (Punches and Elbows)Herb Dean",3,"2:26",NA,NA,NA,NA
"96","4","loss","Mitch Clarke","UFC 173 - Barao vs. DillashawMay / 24 / 2014","Technical Submission (Brabo Choke)Jason Herzog",2,"0:57",NA,NA,NA,NA
"97","4","win","Kevin Lee","UFC 169 - Barao vs. Faber 2Feb / 01 / 2014","Decision (Unanimous)Herb Dean",3,"5:00",NA,NA,NA,NA
"98","4","win","Piotr Hallmann","UFC Fight Night 30 - Machida vs. MunozOct / 26 / 2013","Decision (Unanimous)Leon Roberts",3,"5:00",NA,NA,NA,NA
"99","4","win","Ryan Couture","UFC 164 - Henderson vs. Pettis 2Aug / 31 / 2013","Decision (Unanimous)Yves Lavigne",3,"5:00",NA,NA,NA,NA
"100","4","loss","Michael Chiesa","UFC - The Ultimate Fighter 15 FinaleJun / 01 / 2012","Technical Submission (Rear-Naked Choke)Herb Dean",1,"2:47",NA,NA,NA,NA
"101","4","loss","Pat Audinwood","ROC 38 - Ring of Combat 38Nov / 18 / 2011","Submission (Armbar)Keith Peterson",1,"2:06",NA,NA,NA,NA
"102","4","win","Gabriel Miglioli","ROC 37 - Ring of Combat 37Sep / 09 / 2011","TKO (Punches)Keith Peterson",1,"0:26",NA,NA,NA,NA
"103","4","win","Gabriel Miglioli","ROC 36 - Ring of Combat 36Jun / 17 / 2011","Decision (Split)Keith Peterson",3,"4:00",NA,NA,NA,NA
"104","4","win","Joshua Key","ROC 27 - Ring of Combat 27Nov / 20 / 2009","TKO (Punches)Dan Miragliotta",1,"1:47",NA,NA,NA,NA
"105","4","win","Tim Sylvester","ROC 25 - Ring of Combat 25Jun / 12 / 2009","KO (Punch)Keith Peterson",1,"0:15",NA,NA,NA,NA
"106","4","draw","Will Martinez","ROC 24 - Ring of Combat 24Apr / 17 / 2009","Draw (Unanimous)Kevin Mulhall",3,"4:00",NA,NA,NA,NA
"107","4","win","Mervin Rodriguez","ROC 23 - Ring of Combat 23Feb / 20 / 2009","Submission (Anaconda Choke)Mark Matheny",1,"1:15",NA,NA,NA,NA
"108","5","win","Makwan Amirkhani","UFC Fight Night 179 - Moraes vs. SandhagenOct / 10 / 2020","Decision (Unanimous)Kevin Sataki",3,"5:00",NA,NA,NA,NA
"109","5","loss","Dan Ige","UFC on ESPN 8 - Overeem vs. HarrisMay / 16 / 2020","Decision (Split)Jason Herzog",3,"5:00",NA,NA,NA,NA
"110","5","loss","Paul Felder","UFC 242 - Khabib vs. PoirierSep / 07 / 2019","Decision (Split)Herb Dean",3,"5:00",NA,NA,NA,NA
"111","5","loss","Justin Gaethje","UFC on ESPN 2 - Barboza vs. GaethjeMar / 30 / 2019","KO (Punch)Keith Peterson",1,"2:30",NA,NA,NA,NA
"112","5","win","Dan Hooker","UFC on Fox 31 - Iaquinta vs. Lee 2Dec / 15 / 2018","KO (Punch to the Body)Rob Hinds",3,"2:19",NA,NA,NA,NA
"113","5","loss","Kevin Lee","UFC Fight Night 128 - Barboza vs. LeeApr / 21 / 2018","TKO (Doctor Stoppage)Keith Peterson",5,"2:18",NA,NA,NA,NA
"114","5","loss","Khabib Nurmagomedov","UFC 219 - Cyborg vs. HolmDec / 30 / 2017","Decision (Unanimous)John McCarthy",3,"5:00",NA,NA,NA,NA
"115","5","win","Beneil Dariush","UFC Fight Night 106 - Belfort vs. GastelumMar / 11 / 2017","KO (Knee)Osiris Maia",2,"3:35",NA,NA,NA,NA
"116","5","win","Gilbert Melendez","UFC on Fox 20 - Holm vs. ShevchenkoJul / 23 / 2016","Decision (Unanimous)John McCarthy",3,"5:00",NA,NA,NA,NA
"117","5","win","Anthony Pettis","UFC 197 - Jones vs. St. PreuxApr / 23 / 2016","Decision (Unanimous)Herb Dean",3,"5:00",NA,NA,NA,NA
"118","5","loss","Tony Ferguson","UFC - The Ultimate Fighter 22 FinaleDec / 11 / 2015","Submission (Brabo Choke)John McCarthy",2,"2:54",NA,NA,NA,NA
